scope,model,model_label,model_sort_key,layer,segment_label,phase_description,correct_label,statistic,n,mean,median,std,min,max,ci_low,ci_high
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,auc_lid,52,14.485541650380775,14.162783745884084,2.434736847792288,9.457288555609875,19.43419606797397,13.845234464887834,15.112380536452362
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,boundary_jump_answer_minus_thinking,52,-24.008456762020405,-15.76248025894165,28.329903865568117,-103.30693054199219,13.198747634887695,-31.855821732832837,-16.844016876129004
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,early_late_diff,52,-4.914081966342854,-4.633979208819517,6.3168133241392574,-24.337239875512964,9.692176187739651,-6.596786174112421,-3.3479460496054863
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,fraction_below_low_threshold,52,0.020516369199458286,0.0,0.05061895588843168,0.0,0.3283582089552239,0.009565533206861855,0.03639663875701011
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,max_lid,52,61.38710777576153,58.140920639038086,22.39467919692995,32.862640380859375,157.2837677001953,55.898577600259046,67.59069539583646
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,mean_lid,52,14.819058183578212,14.613897705859825,2.3923846453297957,9.947574503814117,19.79902440401224,14.193427030769302,15.430082920519222
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,min_lid,52,3.438504219055176,3.4469980001449585,0.8621656089691403,1.1612805128097534,5.439249515533447,3.2143121134776336,3.6574169332591384
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,slope_lid,52,-6.79845094963858,-6.126335474815162,7.113291518998485,-25.850503568049103,10.582020452139254,-8.66160578867615,-4.971961441300191
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,variance_lid,52,158.12987363327923,130.47176428471772,95.19439886891465,43.51327017115223,514.2530621725887,133.9784934690406,184.20272315091853
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,wrong,auc_lid,68,14.450127255369042,13.894216474077917,2.718937649200219,9.938129292594061,23.416476730947142,13.833666164516224,15.145101892337259
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,wrong,boundary_jump_answer_minus_thinking,68,-14.998544026823605,-4.845958232879639,26.77355264516259,-90.43571472167969,17.017536163330078,-22.00298297002035,-8.94002732178745
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,wrong,early_late_diff,68,-5.53294328139867,-4.576165492335956,8.02754268567312,-41.63589174607221,11.239012696526268,-7.501008943008251,-3.6304606448843333
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,wrong,fraction_below_low_threshold,68,0.02532685504751139,0.0,0.03714283360593867,0.0,0.14583333333333334,0.016888604539792202,0.034375083981310194
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,wrong,max_lid,68,71.6373498580035,63.77796745300293,34.90143442807493,29.93832015991211,232.5228729248047,63.647152378979854,80.65671284899992
