summary_type,family,layer,n,mean,median,ci_low,ci_high
family_layer,constant_repetition,6,5,4.042568063735962,4.013769149780273,3.8002694129943846,4.330520391464233
family_layer,constant_repetition,13,5,4.828312873840332,4.834778785705566,4.512612342834473,5.1998601913452145
family_layer,constant_repetition,20,5,4.974426746368408,5.0480451583862305,4.6631237983703615,5.282124874591827
family_layer,regular_gsm8k_nothink,6,30,14.358568223317464,14.09302282333374,13.687631323337556,15.146944157282512
family_layer,regular_gsm8k_nothink,13,30,10.93807430267334,10.829650402069092,10.66104809363683,11.228681315581003
family_layer,regular_gsm8k_nothink,20,30,11.925457286834718,11.838595390319824,11.53995518287023,12.288697461287182
family_layer,short_cycle_repetition,6,5,6.38551139831543,6.102168560028076,4.885052871704102,7.99304723739624
family_layer,short_cycle_repetition,13,5,6.067447757720947,5.648697376251221,5.30038366317749,6.99024019241333
family_layer,short_cycle_repetition,20,5,3.1612223625183105,3.360538959503174,2.744078540802002,3.4250954663753497
family_layer,templatic_repetition,6,5,3.42156400680542,3.085350751876831,2.923555040359497,4.32804765701294
family_layer,templatic_repetition,13,5,4.048456144332886,3.8159916400909424,3.7964367389678957,4.360480546951294
family_layer,templatic_repetition,20,5,2.8925381183624266,2.8182437419891357,2.767984914779663,3.0468594074249267
