scope,model,model_label,model_sort_key,layer,segment_label,phase_description,correct_label,statistic,n,mean,median,std,min,max,ci_low,ci_high
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,auc_lid,75,14.215891981795961,14.375777615441216,2.3403210526712366,9.457288555609876,19.837247571279836,13.731669372742212,14.754801775677565
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,boundary_jump_answer_minus_thinking,75,-23.739939473470052,-18.42724609375,27.52417464490377,-108.15513610839844,13.198747634887695,-29.9620801076889,-17.703482296625776
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,early_late_diff,75,-5.141415390657515,-4.554461224873862,6.146858946307746,-18.46200668811798,9.692176187739651,-6.582204486541048,-3.846796022743781
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,fraction_below_low_threshold,75,0.020558101410122407,0.0,0.037694485676151294,0.0,0.1428571428571428,0.012501940318293785,0.029978241064509716
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,max_lid,75,60.75843521118164,58.346248626708984,22.018391765437432,25.218372344970703,157.2837677001953,56.08256659825643,65.84010017140706
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,mean_lid,75,14.558878452411266,14.632874928022686,2.300024622405326,9.947574503814115,20.134401185695943,14.082069891468084,15.088294617775782
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,min_lid,75,3.393216349283854,3.2209653854370117,0.9134097459935199,1.824097990989685,5.477931022644043,3.18604045132796,3.603545112888018
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,slope_lid,75,-7.012232126628234,-5.990695433303447,7.315167531661159,-27.041973178703493,10.582020452139254,-8.737648313447444,-5.4307684914695455
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,correct,variance_lid,75,152.18738114520613,133.27099476750493,83.99567398067221,16.072504225514944,514.2530621725887,135.61726759812385,171.8025326296494
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,no_think_answer,no_thinking_model_answer_segment,wrong,auc_lid,75,13.766754741002284,13.350498754470072,2.513367030915014,8.13421433222921,23.416476730947146,13.242847073299014,14.31671485872304
