model,model_label,model_sort_key,phase,layer,n,mean,median,ci_low,ci_high
Qwen_Qwen3-1.7B,1.7B,1.7,no_think_answer,6,90,13.648132864634196,13.551527976989746,13.348655899365744,13.956251113944584
Qwen_Qwen3-1.7B,1.7B,1.7,think_answer,6,90,14.123195499844021,14.144253730773926,13.715044253402287,14.540249863995447
Qwen_Qwen3-1.7B,1.7B,1.7,thinking,6,90,10.348848761452569,10.177038669586182,9.99398006412718,10.702326877779429
Qwen_Qwen3-1.7B,1.7B,1.7,no_think_answer,13,90,10.9269742541843,11.061286926269531,10.771963268121084,11.080125843418969
Qwen_Qwen3-1.7B,1.7B,1.7,think_answer,13,90,11.303767331441243,11.312929153442383,11.128425350454119,11.470716009669834
Qwen_Qwen3-1.7B,1.7B,1.7,thinking,13,90,9.620083316167195,9.648260116577148,9.4276174932056,9.815679560369915
Qwen_Qwen3-1.7B,1.7B,1.7,no_think_answer,20,90,11.533387035793728,11.574462890625,11.346481809880999,11.7306531408098
Qwen_Qwen3-1.7B,1.7B,1.7,think_answer,20,90,11.585176467895508,11.409150123596191,11.387121090094249,11.798942716916402
Qwen_Qwen3-1.7B,1.7B,1.7,thinking,20,90,9.32883842256334,9.444239139556885,9.084039559629229,9.578287548886406
Qwen_Qwen3-4B,4B,4.0,no_think_answer,6,200,12.822264773845673,12.461562633514404,12.559259045362472,13.08470186650753
Qwen_Qwen3-4B,4B,4.0,think_answer,6,200,13.521426954269408,13.278862953186035,13.26796468067169,13.799072867393495
Qwen_Qwen3-4B,4B,4.0,thinking,6,200,13.802690238952637,13.685297012329102,13.471761317133904,14.141290449023247
Qwen_Qwen3-4B,4B,4.0,no_think_answer,13,200,11.526388120651244,11.481789112091064,11.382371673464776,11.680368902444838
Qwen_Qwen3-4B,4B,4.0,think_answer,13,200,12.062556014060974,12.071768760681152,11.928107277035714,12.203363401412965
Qwen_Qwen3-4B,4B,4.0,thinking,13,200,10.702342064380646,10.714313507080078,10.545391228556632,10.863299593150616
Qwen_Qwen3-4B,4B,4.0,no_think_answer,20,200,11.502819876670838,11.449180126190186,11.396804097414016,11.613300857305527
Qwen_Qwen3-4B,4B,4.0,think_answer,20,200,11.480992164611816,11.312484741210938,11.269488803148269,11.848027637004853
Qwen_Qwen3-4B,4B,4.0,thinking,20,200,14.44776137828827,11.402066707611084,13.515280006408691,15.443829348683357
Qwen_Qwen3-8B,8B,8.0,no_think_answer,6,62,14.279681498004544,13.886390209197998,13.724486276026695,14.84400016761595
Qwen_Qwen3-8B,8B,8.0,think_answer,6,62,13.895769734536447,13.573681831359863,13.53820880151564,14.283001643996085
Qwen_Qwen3-8B,8B,8.0,thinking,6,62,15.277265640997118,15.281216621398926,14.507489206329469,16.07487977127875
Qwen_Qwen3-8B,8B,8.0,no_think_answer,13,62,12.025464642432429,11.964864730834961,11.753295192795415,12.304031918894859
Qwen_Qwen3-8B,8B,8.0,think_answer,13,62,12.092317027430381,11.958600044250488,11.868634541573062,12.332962908667904
Qwen_Qwen3-8B,8B,8.0,thinking,13,62,11.408744481302076,11.540580749511719,11.044110739807929,11.76351402017378
Qwen_Qwen3-8B,8B,8.0,no_think_answer,20,62,12.025412697945871,12.06238842010498,11.866714472539963,12.183935252697237
Qwen_Qwen3-8B,8B,8.0,think_answer,20,62,11.431310407577023,11.423562049865723,11.243894834287705,11.619214518993132
Qwen_Qwen3-8B,8B,8.0,thinking,20,62,18.35290161255867,13.323930740356444,16.238278169785776,20.546249370421133
Qwen_Qwen3-14B,14B,14.0,no_think_answer,6,200,16.317095704078675,16.046483039855957,16.010016773700716,16.6329298170805
Qwen_Qwen3-14B,14B,14.0,think_answer,6,200,17.008681221008302,16.914639472961426,16.68916748571396,17.320204632520674
Qwen_Qwen3-14B,14B,14.0,thinking,6,200,17.039007472991944,16.8788423538208,16.62452365422249,17.500612216472625
Qwen_Qwen3-14B,14B,14.0,no_think_answer,13,200,12.056605086326599,12.057841300964355,11.912619701027872,12.206637708544731
Qwen_Qwen3-14B,14B,14.0,think_answer,13,200,12.746314158439636,12.755965232849121,12.583934261322021,12.908807236433029
Qwen_Qwen3-14B,14B,14.0,thinking,13,200,12.429032230377198,12.549172401428223,12.231672412157058,12.628559528946877
Qwen_Qwen3-14B,14B,14.0,no_think_answer,20,200,12.523883328437805,12.479352951049805,12.400510835647584,12.652899235725403
Qwen_Qwen3-14B,14B,14.0,think_answer,20,200,12.29326738357544,12.309897899627686,12.184560058236123,12.398416383862497
Qwen_Qwen3-14B,14B,14.0,thinking,20,200,12.551891121864319,12.70025110244751,12.397408871412276,12.704597138404846
Qwen_Qwen3-32B,32B,32.0,no_think_answer,6,200,15.042043557167053,14.95295238494873,14.748791944742203,15.336880249500275
Qwen_Qwen3-32B,32B,32.0,think_answer,6,200,16.048859519958498,16.124696731567383,15.717718910455703,16.38414955341816
Qwen_Qwen3-32B,32B,32.0,thinking,6,200,19.18258858203888,19.182329177856445,18.719976769804955,19.679740875720977
Qwen_Qwen3-32B,32B,32.0,no_think_answer,13,200,13.735133438110351,13.68825387954712,13.543313006162643,13.919182662844657
Qwen_Qwen3-32B,32B,32.0,think_answer,13,200,14.139121670722961,14.207842826843262,13.923614529013634,14.34329158937931
Qwen_Qwen3-32B,32B,32.0,thinking,13,200,13.975381846427917,13.981297492980957,13.75265743792057,14.19507161450386
Qwen_Qwen3-32B,32B,32.0,no_think_answer,20,200,13.075003700256348,13.019517421722412,12.919028391718864,13.228193650841714
Qwen_Qwen3-32B,32B,32.0,think_answer,20,200,13.540012831687926,13.525262355804443,13.358587584614753,13.729443271040916
Qwen_Qwen3-32B,32B,32.0,thinking,20,200,14.032042546272278,14.177691459655762,13.840802327394485,14.200830157995224
