model_label,layer,test,phase,n_correct,n_wrong,median_correct,median_wrong,median_gap,U,p_one_sided_correct_gt_wrong,note
1.7B,6,C2_mannwhitney_u_one_sided,thinking,67,23,10.279545783996582,9.015629768371582,1.263916015625,1201.0,3.4785794858286964e-05,
1.7B,6,C2_mannwhitney_u_one_sided,think_answer,67,23,14.594978332519531,13.696758270263672,0.8982200622558594,961.0,0.039407050903539693,
1.7B,6,C2_mannwhitney_u_one_sided,no_think_answer,15,75,13.51793384552002,13.76569938659668,-0.24776554107666016,455.0,0.8788539842719294,
1.7B,13,C2_mannwhitney_u_one_sided,thinking,67,23,9.857059478759766,8.792083740234375,1.0649757385253906,1234.0,9.218885541964915e-06,
1.7B,13,C2_mannwhitney_u_one_sided,think_answer,67,23,11.292913436889648,11.330642700195312,-0.03772926330566406,865.0,0.19227214536283255,
1.7B,13,C2_mannwhitney_u_one_sided,no_think_answer,15,75,10.96419620513916,11.084505081176758,-0.12030887603759766,531.0,0.6354986454328622,
1.7B,20,C2_mannwhitney_u_one_sided,thinking,67,23,9.71774959564209,8.12695598602295,1.5907936096191406,1298.0,5.438999053862992e-07,
1.7B,20,C2_mannwhitney_u_one_sided,think_answer,67,23,11.593947410583496,11.369370460510254,0.2245769500732422,892.0,0.1315019804033597,
1.7B,20,C2_mannwhitney_u_one_sided,no_think_answer,15,75,11.406149864196776,11.606038093566896,-0.19988822937012074,453.0,0.8831595290126404,
14B,6,C2_mannwhitney_u_one_sided,thinking,189,11,16.97412872314453,12.726590156555176,4.2475385665893555,1780.0,3.662236671825764e-05,
14B,6,C2_mannwhitney_u_one_sided,think_answer,189,11,16.856130599975586,18.105558395385746,-1.2494277954101598,777.0,0.9206352229152706,
14B,6,C2_mannwhitney_u_one_sided,no_think_answer,125,75,16.001771926879883,16.079282760620117,-0.07751083374023438,4484.0,0.6966530213452844,
14B,13,C2_mannwhitney_u_one_sided,thinking,189,11,12.582683563232422,9.297365188598633,3.285318374633789,1894.0,2.3653184409655735e-06,
14B,13,C2_mannwhitney_u_one_sided,think_answer,189,11,12.781898498535156,12.564417839050291,0.21748065948486506,1029.0,0.5235026402202964,
14B,13,C2_mannwhitney_u_one_sided,no_think_answer,125,75,12.073843002319336,12.037497520446776,0.03634548187256037,4677.0,0.5110727102605646,
14B,20,C2_mannwhitney_u_one_sided,thinking,189,11,12.723174095153809,10.07351016998291,2.6496639251708984,1870.0,4.338086316551529e-06,
14B,20,C2_mannwhitney_u_one_sided,think_answer,189,11,12.300057411193848,12.41026782989502,-0.11021041870117188,941.0,0.7021237618670048,
14B,20,C2_mannwhitney_u_one_sided,no_think_answer,125,75,12.51365566253662,12.387337684631348,0.12631797790527166,4863.0,0.329383476493473,
32B,6,C2_mannwhitney_u_one_sided,thinking,194,6,19.242843627929688,17.2520694732666,1.990774154663086,825.0,0.041228369171347284,
32B,6,C2_mannwhitney_u_one_sided,think_answer,194,6,16.08185386657715,17.645625114440918,-1.5637712478637695,390.0,0.9138575513301573,
32B,6,C2_mannwhitney_u_one_sided,no_think_answer,130,70,14.884067058563232,15.352863311767578,-0.4687962532043457,4122.0,0.8637986043301701,
32B,13,C2_mannwhitney_u_one_sided,thinking,194,6,14.002709865570068,12.713993072509766,1.2887167930603027,850.0,0.026953593534175917,
32B,13,C2_mannwhitney_u_one_sided,think_answer,194,6,14.207842826843262,14.656585693359375,-0.4487428665161133,480.0,0.7637864132798923,
32B,13,C2_mannwhitney_u_one_sided,no_think_answer,130,70,13.599581718444824,14.0401291847229,-0.44054746627807617,3778.0,0.9760726480556046,
32B,20,C2_mannwhitney_u_one_sided,thinking,194,6,14.192296504974365,12.768651008605957,1.4236454963684082,792.0,0.06811632466199719,
32B,20,C2_mannwhitney_u_one_sided,think_answer,194,6,13.473127841949463,13.932799339294434,-0.4596714973449707,442.0,0.83860641473889,
32B,20,C2_mannwhitney_u_one_sided,no_think_answer,130,70,12.968354225158691,13.251775741577148,-0.28342151641845703,3804.0,0.972065805447853,
4B,6,C2_mannwhitney_u_one_sided,thinking,182,18,13.90626859664917,10.900329113006592,3.005939483642578,2680.0,4.372017921643268e-06,
4B,6,C2_mannwhitney_u_one_sided,think_answer,182,18,13.221367835998535,14.002439022064209,-0.7810711860656738,1501.0,0.7213914495664591,
4B,6,C2_mannwhitney_u_one_sided,no_think_answer,94,106,12.308153629302979,12.789350509643555,-0.48119688034057617,4768.0,0.7002267787661487,
4B,13,C2_mannwhitney_u_one_sided,thinking,182,18,10.871085166931152,9.13277006149292,1.7383151054382324,2789.0,4.520907665772254e-07,
4B,13,C2_mannwhitney_u_one_sided,think_answer,182,18,12.13454818725586,11.817960739135742,0.3165874481201172,2069.0,0.03304732678309944,
4B,13,C2_mannwhitney_u_one_sided,no_think_answer,94,106,11.500444412231445,11.413596153259277,0.08684825897216797,5460.0,0.12123727966338566,
4B,20,C2_mannwhitney_u_one_sided,thinking,182,18,11.402066707611084,11.127605438232422,0.2744612693786621,1850.0,0.18329424885730838,
4B,20,C2_mannwhitney_u_one_sided,think_answer,182,18,11.312484741210938,11.322305202484133,-0.009820461273195136,1658.0,0.4668285869074955,
4B,20,C2_mannwhitney_u_one_sided,no_think_answer,94,106,11.525387287139893,11.336456298828125,0.18893098831176758,5501.0,0.10218777153311481,
8B,6,C2_mannwhitney_u_one_sided,thinking,55,7,15.641261100769045,12.193435668945312,3.4478254318237322,259.0,0.07238312836575428,
8B,6,C2_mannwhitney_u_one_sided,think_answer,55,7,13.560879707336426,14.221911430358888,-0.6610317230224627,155.0,0.7969519920115195,
8B,6,C2_mannwhitney_u_one_sided,no_think_answer,30,32,13.550409317016602,14.201173305511475,-0.650763988494873,443.0,0.7013271642105781,
8B,13,C2_mannwhitney_u_one_sided,thinking,55,7,11.631031036376951,10.02489948272705,1.6061315536499006,279.0,0.02724514810762488,
8B,13,C2_mannwhitney_u_one_sided,think_answer,55,7,11.975692749023438,11.89163303375244,0.08405971527099787,182.0,0.5945984790869204,
8B,13,C2_mannwhitney_u_one_sided,no_think_answer,30,32,11.814825057983398,12.034038543701172,-0.21921348571777344,442.0,0.7061965908570004,
8B,20,C2_mannwhitney_u_one_sided,thinking,55,7,13.543432235717772,11.955657958984377,1.5877742767333949,204.0,0.40540152091307957,
8B,20,C2_mannwhitney_u_one_sided,think_answer,55,7,11.40085506439209,11.81452465057373,-0.4136695861816406,109.0,0.9696456368369469,
8B,20,C2_mannwhitney_u_one_sided,no_think_answer,30,32,12.14510726928711,12.006800651550295,0.13830661773681463,522.0,0.27942011489178087,
