model,model_label,model_sort_key,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,13,cross_model,40,40,1.7326571941375732,10.506328129768372,5.915143966674805,23.04498291015625,13.759945886846037,10.325825764582707,0.0,1.3585276208272736,0.3954329490661621
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,cross_model,40,40,1.5059205293655396,11.285731387138366,6.441797733306885,24.573333740234375,12.67737402881101,11.138874873136862,0.0,2.9003544714392633,1.4314698696136468
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_001306,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,6,per_sample,53,53,1.1351509809494018,17.016683025180168,3.965609312057495,106.1618881225586,287.228468933952,16.05950511877354,0.0,10.258085256852448,6.017829060554504
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_001306,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,13,per_sample,53,53,1.7326571941375732,11.377098344406992,4.704158782958984,23.46938705444336,18.262865200345182,11.249556596462543,0.0,-0.17453387398389592,-1.1371063164302289
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_001306,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,per_sample,53,53,1.5059205293655396,13.207522023398921,4.6555562019348145,45.69527053833008,64.32409652152933,12.970312952995302,0.0,6.5453997677977025,1.9973640782492499
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,cross_model,29,29,1.1351509809494018,8.961286224167923,1.3626880645751953,188.8919677734375,1158.945324154801,5.7493130905287595,0.0,31.99789389084125,20.270745143294334
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,cross_model,29,29,1.7326571941375732,4.787714851313624,1.6692478656768799,28.312435150146484,31.885661188258485,4.130219757556914,0.034482758620689655,-3.1408919531723587,-2.7576372176408768
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,cross_model,29,29,1.5059205293655396,3.4674581453717988,1.7392586469650269,22.015581130981445,13.694422334270387,3.0739997753075183,0.0,1.2533044387554304,0.5811628252267838
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,cross_model,37,37,1.1351509809494018,4.179227606670277,1.135674238204956,66.8443374633789,115.42364447193654,3.1989136768711943,0.0,4.474123639707717,2.447569811344146
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,cross_model,37,37,1.7326571941375732,5.63889225753578,1.2899631261825562,68.08430480957031,125.61263363259708,4.627989855077532,0.4864864864864865,-0.4283250704259338,-1.452990937232972
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,cross_model,37,37,1.5059205293655396,3.3605405027801925,1.145456075668335,30.069904327392578,25.55972661638511,2.856976969374551,0.35135135135135137,0.021214466854657155,-0.2900825381278995
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,cross_model,64,64,1.1351509809494018,4.714585410431027,0.9139333963394165,161.4312286376953,393.0903767216798,3.452270990326295,0.3125,10.274433190089004,6.6520505882799625
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,cross_model,64,64,1.7326571941375732,6.7367778439074755,1.0670177936553955,161.08212280273438,401.03039152378545,5.4384846403485305,0.40625,3.1636826577667976,1.183352954685688
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,cross_model,64,64,1.5059205293655396,2.3711380809545517,1.1205077171325684,18.27983283996582,5.316709654305216,2.2145009532807367,0.296875,-0.5481890511054257,-0.46818459779024124
