model,model_label,experiment,layer,valid_pair,model_sort_key,hidden_dim,lid_value_normalization,example_id,prompt_variant,think_answer_lid,no_think_answer_lid,answer_lid_diff,think_correct,no_think_correct,think_answer_tokens,no_think_answer_tokens,raw_think_answer_lid,raw_no_think_answer_lid,raw_answer_lid_diff
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000099,canonical,0.005858411081135274,0.0056546032428741455,0.00020380783826112744,True,False,47.0,55.0,11.99802589416504,11.58062744140625,0.417398452758789
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000109,canonical,0.006697148084640503,0.0066820173524320126,1.5130732208490333e-05,True,True,72.0,60.0,13.71575927734375,13.684771537780762,0.0309877395629882
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000109,canonical,0.005472219083458185,0.0053536114282906055,0.00011860765516757964,True,True,72.0,60.0,11.207104682922363,10.96419620513916,0.2429084777832031
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000109,canonical,0.005415008869022131,0.005419842898845673,-4.8340298235416014e-06,True,True,72.0,60.0,11.089938163757324,11.099838256835938,-0.0099000930786132
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000118,canonical,0.007651440333575009,0.0064104837365448475,0.0012409565970301628,True,True,46.0,65.0,15.67014980316162,13.128670692443848,2.5414791107177734
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000118,canonical,0.006144902668893338,0.00543325487524271,0.0007116477936506271,True,True,46.0,65.0,12.584760665893556,11.12730598449707,1.4574546813964844
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000118,canonical,0.00629743142053485,0.005553353112190962,0.0007440783083438873,True,True,46.0,65.0,12.897139549255373,11.37326717376709,1.5238723754882812
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000133,canonical,0.007222193758934736,0.007078504655510187,0.00014368910342454908,True,True,46.0,35.0,14.79105281829834,14.496777534484863,0.2942752838134765
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000133,canonical,0.005943358410149813,0.005424461327493192,0.0005188970826566218,True,True,46.0,35.0,12.171998023986816,11.109296798706056,1.0627012252807615
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000133,canonical,0.006491777487099171,0.005655320826917887,0.000836456660181284,True,True,46.0,35.0,13.295160293579102,11.582097053527832,1.7130632400512695
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000150,canonical,0.006456340663135052,0.006819891277700662,-0.0003635506145656109,False,False,49.0,47.0,13.222585678100586,13.967137336730955,-0.7445516586303711
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000150,canonical,0.004734315443783998,0.004701653495430946,3.26619483530521e-05,False,False,49.0,47.0,9.695878028869627,9.628986358642578,0.0668916702270507
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000150,canonical,0.005217642989009619,0.005199475679546595,1.8167309463024122e-05,False,False,49.0,47.0,10.6857328414917,10.648526191711426,0.0372066497802734
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000182,canonical,0.0066878702491521835,0.005928437691181898,0.0007594325579702853,False,False,32.0,28.0,13.696758270263672,12.141440391540527,1.5553178787231443
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000182,canonical,0.005588782019913197,0.0047937892377376565,0.0007949927821755409,False,False,32.0,28.0,11.445825576782228,9.81768035888672,1.6281452178955078
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000182,canonical,0.0054247938096523285,0.006088546942919492,-0.0006637531332671642,False,False,32.0,28.0,11.109977722167969,12.46934413909912,-1.3593664169311523
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000199,canonical,0.00474398536607623,0.007638131268322468,-0.002894145902246237,True,False,82.0,55.0,9.71568202972412,15.642892837524414,-5.927210807800293
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000199,canonical,0.005017609335482121,0.00555373216047883,-0.0005361228249967097,True,False,82.0,55.0,10.276063919067385,11.374043464660645,-1.0979795455932615
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000199,canonical,0.005243548192083836,0.005518453195691109,-0.0002749050036072731,True,False,82.0,55.0,10.738786697387695,11.30179214477539,-0.5630054473876953
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000247,canonical,0.008342156186699867,0.005418034736067057,0.0029241214506328106,True,False,46.0,47.0,17.084735870361328,11.096135139465332,5.988600730895996
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000247,canonical,0.005437169224023818,0.004480570554733276,0.0009565986692905426,True,False,46.0,47.0,11.13532257080078,9.17620849609375,1.9591140747070312
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000247,canonical,0.006038196850568057,0.0048772855661809444,0.0011609112843871117,True,False,46.0,47.0,12.36622714996338,9.988680839538574,2.3775463104248047
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000254,canonical,0.007209859788417816,0.006374267395585775,0.0008355923928320408,True,False,51.0,39.0,14.765792846679688,13.054499626159668,1.7112932205200195
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000254,canonical,0.005960976239293814,0.005653520580381154,0.0003074556589126587,True,False,51.0,39.0,12.20807933807373,11.578410148620604,0.629669189453125
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000254,canonical,0.005705464631319046,0.0051416605710983285,0.0005638040602207184,True,False,51.0,39.0,11.684791564941406,10.530120849609377,1.1546707153320312
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000257,canonical,0.006209156475961209,0.006611793767660856,-0.0004026372916996479,True,False,81.0,45.0,12.716352462768556,13.540953636169434,-0.8246011734008789
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000257,canonical,0.005790838971734047,0.004657646641135216,0.0011331923305988312,True,False,81.0,45.0,11.859638214111328,9.538860321044922,2.3207778930664062
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000257,canonical,0.0054738475009799,0.004976985044777393,0.000496862456202507,True,False,81.0,45.0,11.210439682006836,10.192865371704102,1.0175743103027344
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000273,canonical,0.0058961473405361176,0.006090175826102495,-0.00019402848556637764,True,False,98.0,43.0,12.075309753417969,12.47268009185791,-0.3973703384399414
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000273,canonical,0.005543230101466179,0.005326397716999054,0.00021683238446712494,True,False,98.0,43.0,11.352535247802734,10.908462524414062,0.4440727233886719
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000273,canonical,0.005542790517210961,0.006320327986031771,-0.0007775374688208103,True,False,98.0,43.0,11.351634979248049,12.944031715393066,-1.5923967361450195
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000300,canonical,0.007410419173538686,0.007728525437414646,-0.0003181062638759613,True,False,45.0,40.0,15.176538467407228,15.828020095825195,-0.6514816284179688
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000300,canonical,0.005883307661861181,0.005649588070809842,0.00023371959105134008,True,False,45.0,40.0,12.0490140914917,11.570356369018556,0.4786577224731445
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000300,canonical,0.006791028194129467,0.006271810736507177,0.0005192174576222897,True,False,45.0,40.0,13.908025741577148,12.8446683883667,1.0633573532104492
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000304,canonical,0.006915046367794275,0.007023369893431664,-0.00010832352563738823,False,False,50.0,60.0,14.162014961242676,14.383861541748049,-0.2218465805053711
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000304,canonical,0.005643174052238465,0.005207201931625605,0.0004359721206128597,False,False,50.0,60.0,11.557220458984377,10.664349555969238,0.8928709030151367
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000304,canonical,0.005450686905533075,0.004871910437941551,0.0005787764675915241,False,False,50.0,60.0,11.163006782531738,9.977672576904297,1.1853342056274414
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000307,canonical,0.006561514921486378,0.006372004747390747,0.00018951017409563062,False,False,42.0,38.0,13.437982559204102,13.04986572265625,0.3881168365478515
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000307,canonical,0.005325931124389172,0.004974272567778826,0.00035165855661034584,False,False,42.0,38.0,10.907506942749023,10.187310218811035,0.7201967239379883
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000307,canonical,0.005513018928468227,0.0053682466968894005,0.0001447722315788269,False,False,42.0,38.0,11.29066276550293,10.994169235229492,0.2964935302734375
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000325,canonical,0.006600274704396725,0.0061570052057504645,0.00044326949864625936,True,False,51.0,70.0,13.517362594604492,12.609546661376951,0.9078159332275392
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000325,canonical,0.005398795939981937,0.005353426095098257,4.536984488368032e-05,True,False,51.0,70.0,11.056734085083008,10.96381664276123,0.0929174423217773
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000325,canonical,0.00590394577011466,0.0054142274893820294,0.0004897182807326317,True,False,51.0,70.0,12.091280937194824,11.088337898254396,1.0029430389404297
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000351,canonical,0.007158340886235237,0.006120884791016578,0.0010374560952186584,True,True,43.0,53.0,14.660282135009766,12.535572052001951,2.1247100830078125
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000351,canonical,0.005536789074540138,0.005248538218438625,0.0002882508561015129,True,True,43.0,53.0,11.339344024658203,10.749006271362305,0.5903377532958984
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000351,canonical,0.0055046873167157164,0.005759795196354388,-0.0002551078796386719,True,True,43.0,53.0,11.273599624633787,11.796060562133787,-0.5224609375
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000361,canonical,0.008336889557540417,0.005914200562983752,0.0024226889945566654,False,False,46.0,58.0,17.073949813842773,12.112282752990724,4.961667060852051
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000361,canonical,0.005568422842770814,0.005470117554068565,9.830528870224951e-05,False,False,46.0,58.0,11.404129981994627,11.202800750732422,0.201329231262207
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000361,canonical,0.005564191378653049,0.005820531398057938,-0.00025634001940488815,False,False,46.0,58.0,11.395463943481444,11.920448303222656,-0.5249843597412109
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000389,canonical,0.006298261694610119,0.006117761135101318,0.00018050055950880048,False,False,61.0,65.0,12.898839950561523,12.5291748046875,0.3696651458740234
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000389,canonical,0.005515241995453834,0.005666818004101515,-0.00015157600864768028,False,False,61.0,65.0,11.295215606689451,11.605643272399902,-0.3104276657104492
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000389,canonical,0.005435903090983629,0.0061632078140974045,-0.0007273047231137751,False,False,61.0,65.0,11.132729530334473,12.622249603271484,-1.4895200729370115
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000415,canonical,0.006603783927857876,0.006621304899454117,-1.7520971596240967e-05,False,False,74.0,40.0,13.52454948425293,13.560432434082031,-0.0358829498291015
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000415,canonical,0.005532540380954742,0.005317589733749628,0.00021495064720511436,False,False,74.0,40.0,11.330642700195312,10.890423774719238,0.4402189254760742
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000415,canonical,0.005551450420171022,0.006754192057996988,-0.0012027416378259659,False,False,74.0,40.0,11.369370460510254,13.832585334777832,-2.463214874267578
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000426,canonical,0.006273815408349037,0.007450758013874292,-0.0011769426055252552,True,False,75.0,47.0,12.848773956298828,15.25915241241455,-2.4103784561157227
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000426,canonical,0.005635495763272047,0.005874417722225189,-0.00023892195895314214,True,False,75.0,47.0,11.541495323181152,12.030807495117188,-0.4893121719360351
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000426,canonical,0.005326149053871632,0.006596656981855631,-0.0012705079279839993,True,False,75.0,47.0,10.907953262329102,13.509953498840332,-2.6020002365112305
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000432,canonical,0.005920546129345894,0.007165029644966125,-0.0012444835156202316,True,False,62.0,38.0,12.12527847290039,14.673980712890623,-2.5487022399902344
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000432,canonical,0.005058008711785078,0.005533946678042412,-0.0004759379662573338,True,False,62.0,38.0,10.35880184173584,11.33352279663086,-0.9747209548950196
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000432,canonical,0.005168583709746599,0.005745050963014364,-0.000576467253267765,True,False,62.0,38.0,10.585259437561035,11.765864372253418,-1.1806049346923828
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000433,canonical,0.007222027517855168,0.006552393082529306,0.000669634435325861,True,False,54.0,40.0,14.790712356567385,13.41930103302002,1.3714113235473633
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000433,canonical,0.0054860501550138,0.005145176313817501,0.0003408738411962986,True,False,54.0,40.0,11.235430717468262,10.537321090698242,0.6981096267700195
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000433,canonical,0.005169912241399288,0.00595688633620739,-0.0007869740948081017,True,False,54.0,40.0,10.587980270385742,12.199703216552734,-1.6117229461669922
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000448,canonical,0.007779378909617662,0.0070444997400045395,0.0007348791696131229,True,False,51.0,87.0,15.932168006896973,14.427135467529297,1.5050325393676758
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000448,canonical,0.005442178808152676,0.0053830198012292385,5.915900692343711e-05,True,False,51.0,87.0,11.14558219909668,11.02442455291748,0.1211576461791992
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000448,canonical,0.005370456725358963,0.005910702981054783,-0.0005402462556958199,True,False,51.0,87.0,10.998695373535156,12.105119705200195,-1.106424331665039
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000449,canonical,0.005891674663871528,0.006832180079072714,-0.0009405054152011871,True,False,48.0,37.0,12.066149711608888,13.992304801940918,-1.9261550903320312
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000449,canonical,0.0052634640596807,0.005148007068783045,0.00011545699089765547,True,False,48.0,37.0,10.779574394226074,10.543118476867676,0.2364559173583984
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000449,canonical,0.005286899860948324,0.006168820895254611,-0.0008819210343062877,True,False,48.0,37.0,10.827570915222168,12.633745193481444,-1.8061742782592771
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000460,canonical,0.006514810491353273,0.00637808395549655,0.00013672653585672379,True,False,39.0,59.0,13.342331886291504,13.062315940856934,0.2800159454345703
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000460,canonical,0.005649663507938385,0.005483599379658699,0.00016606412827968597,True,False,39.0,59.0,11.570510864257812,11.230411529541016,0.3400993347167969
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000460,canonical,0.006489254534244537,0.0061147110536694535,0.0003745434805750847,True,False,39.0,59.0,13.289993286132812,12.52292823791504,0.7670650482177734
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000503,canonical,0.006338350474834442,0.006406639702618122,-6.828922778367994e-05,True,False,51.0,46.0,12.980941772460938,13.120798110961914,-0.1398563385009765
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000503,canonical,0.00553264981135726,0.005796319339424371,-0.00026366952806711197,True,False,51.0,46.0,11.330866813659668,11.870862007141112,-0.5399951934814453
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000503,canonical,0.00568253407254815,0.006354719866067171,-0.0006721857935190201,True,False,51.0,46.0,11.637829780578612,13.014466285705566,-1.3766365051269531
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000509,canonical,0.006237335503101349,0.007222726009786129,-0.0009853905066847801,True,False,39.0,34.0,12.774063110351562,14.792142868041992,-2.0180797576904297
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000509,canonical,0.005421190056949854,0.005634032189846039,-0.00021284213289618492,True,False,39.0,34.0,11.1025972366333,11.538497924804688,-0.4359006881713867
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000509,canonical,0.00608565891161561,0.0063071297481656075,-0.0002214708365499973,True,False,39.0,34.0,12.46342945098877,12.917001724243164,-0.4535722732543945
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000534,canonical,0.007052476517856121,0.0077922954224050045,-0.0007398189045488834,False,False,62.0,48.0,14.443471908569336,15.95862102508545,-1.5151491165161133
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000534,canonical,0.005627159029245377,0.005683290306478738,-5.613127723336216e-05,False,False,62.0,48.0,11.524421691894531,11.639378547668455,-0.1149568557739257
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000534,canonical,0.006539652124047279,0.006232816260308027,0.0003068358637392521,False,False,62.0,48.0,13.393207550048828,12.76480770111084,0.6283998489379883
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000543,canonical,0.007955356501042843,0.008288761600852013,-0.00033340509980916977,True,False,64.0,46.0,16.292570114135742,16.975383758544922,-0.6828136444091797
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000543,canonical,0.005253724288195371,0.005629986524581909,-0.00037626223638653755,True,False,64.0,46.0,10.75962734222412,11.53021240234375,-0.7705850601196289
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000543,canonical,0.00574082788079977,0.0058641196228563786,-0.0001232917420566082,True,False,64.0,46.0,11.75721549987793,12.009716987609863,-0.2525014877319336
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000561,canonical,0.005307742394506931,0.004857213702052832,0.0004505286924540996,True,True,66.0,79.0,10.870256423950195,9.9475736618042,0.922682762145996
