model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff,boundary_jump_answer_minus_thinking,sample_scope
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_000965,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,55,55,0.0007245007436722517,0.003851600759133527,0.00047461758367717266,0.014963029883801937,8.899557443861035e-06,0.00371545658142875,0.10909090909090909,-0.001570291864548126,-0.001254050792860133,-0.004288745112717152,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_000965,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,55,55,0.0011393683264032007,0.0029101947438903153,0.0009400639100931585,0.0074814679101109505,2.1656100512177114e-06,0.0028570623436718493,0.07272727272727272,-0.0012362534829639114,-0.0008647214687828508,-0.002988236490637064,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_000965,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,55,55,0.0014959154883399605,0.0027640435738827693,0.0015840301057323813,0.0073453099466860294,1.3296081340347375e-06,0.002725828786087394,0.0,0.0009024929840347527,0.0007266837721025305,-0.0014125481247901917,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_000990,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,50,50,0.0007245007436722517,0.0035718629718758167,0.0006516774301417172,0.013322997838258743,8.907144210865839e-06,0.003420342855174475,0.1,-0.002642073316554371,-0.0024267832990377573,-0.001881877426058054,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_000990,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,50,50,0.0011393683264032007,0.0026629707030951977,0.0008133735391311347,0.007260813377797604,1.5895652583125566e-06,0.0026014388862008954,0.08,-0.000279516513075898,-0.00025319319236307173,0.000990056898444891,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_000990,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,50,50,0.0014959154883399605,0.0027743118442595006,0.0015729267615824938,0.006626791786402464,9.447318422523981e-07,0.0027331101033380447,0.0,-0.0008363703030216331,-0.0009198937153157135,-0.00028094020672142506,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001017,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,56,56,0.0007245007436722517,0.0039059228812610464,0.0010881945490837097,0.014999713748693466,7.188306188487644e-06,0.0037735367744145066,0.0,-0.0005165578751943834,-0.00018075770432395607,-0.0018752790056169033,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001017,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,56,56,0.0011393683264032007,0.0030912585373568746,0.0013975441688671708,0.007345275953412056,1.861950455766815e-06,0.0030530189206315708,0.0,-0.0008764795480204976,-0.0008246647277181701,-0.0004947192501276731,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001017,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,56,56,0.0014959154883399605,0.003300970031497335,0.0015780095709487796,0.008890580385923386,1.947462207473944e-06,0.003250647863288495,0.0,0.0008831746927445027,0.0005588082463613576,0.0004261962603777647,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001031,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,52,52,0.0007245007436722517,0.0028673119019143856,0.00069884565891698,0.008023105561733246,3.4069343231442968e-06,0.002768066154756382,0.038461538461538464,-0.001455260520035203,-0.001114116990580582,-0.008497150614857674,per_model_kept_independent_plus_common_union
