model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_000135,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,cross_model,53,53,0.0007353127584792674,0.006445099494226699,0.002350473077967763,0.014448040165007114,6.329198693400068e-06,0.006400669154782709,0.0,0.0009631024745822098,0.0008079208367105049
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,6,cross_model,114,114,0.0005542729399167001,0.005444134132152325,0.0007580886012874544,0.048047468066215515,3.788702289179704e-05,0.005206302471821552,0.0,0.003042375659985682,0.0020752352008050106
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,13,cross_model,114,114,0.0008460240205749869,0.005202941748664894,0.0012907088967040181,0.02888982556760311,1.755652333023836e-05,0.005163024246601998,0.0,0.00022084839717704968,-0.00020642672938391005
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,cross_model,114,114,0.0007353127584792674,0.005205681661895493,0.0023584552109241486,0.016492413356900215,6.128594851422938e-06,0.005153409075568868,0.0,0.0018727334000988598,0.0010278559016898784
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,6,cross_model,40,40,0.0005542729399167001,0.007038885785732418,0.0026083742268383503,0.025347735732793808,1.8733367378637377e-05,0.006717016490606162,0.0,-0.0001493310294591078,0.0006586208706721667
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,13,cross_model,40,40,0.0008460240205749869,0.005130043032113463,0.002888253889977932,0.011252433061599731,3.2806267468562214e-06,0.00504190711161265,0.0,0.0006633435648570672,0.00019308249466121197
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,cross_model,40,40,0.0007353127584792674,0.005510611028876155,0.0031454090494662523,0.011998698115348816,3.022521502688172e-06,0.005438903746648858,0.0,0.0014161887067574528,0.0006989598972722885
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_001306,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,6,per_sample,53,53,0.0005542729399167001,0.008308927258388754,0.0019363326719030738,0.05183685943484306,6.848060344075012e-05,0.007841555233776143,0.0,0.005008830691822484,0.002938393095973879
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_001306,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,13,per_sample,53,53,0.0008460240205749869,0.0055552238009799765,0.0022969525307416916,0.011459661647677422,4.354206371389671e-06,0.005492947556866476,0.0,-8.522161815619918e-05,-0.0005552276935694477
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,regular_gsm8k_nothink,gsm8k_test_001306,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,per_sample,53,53,0.0007353127584792674,0.006448985362987754,0.0022732208017259836,0.022312143817543983,1.533605969465478e-05,0.006333160621579737,0.0,0.003195995980369972,0.0009752754288326415
