scope,model,model_label,model_sort_key,hidden_dim,lid_value_normalization,layer,segment_label,phase_description,correct_label,statistic,n,mean,median,std,min,max,ci_low,ci_high
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,auc_lid,66,0.003618934659723142,0.003273171088592064,0.0010343665920977947,0.002014695989842318,0.0067201395341683,0.0033753976128906397,0.0038824790543380444
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,boundary_jump_answer_minus_thinking,66,-0.004619271385088337,-0.002974152099341154,0.00612734433607932,-0.02017713151872158,0.005432169418781996,-0.0060858618596808575,-0.0032298118180320175
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,early_late_diff,66,-0.0012174414871353998,-0.001154853936491741,0.001597644632103875,-0.005384894125574432,0.004732507904169752,-0.0016026845106539853,-0.0008339063457322129
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,fraction_below_low_threshold,66,0.016074906864964114,0.0,0.028079570770140536,0.0,0.10869565217391304,0.009535552387537716,0.022960933258374287
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,max_lid,66,0.015110554681582884,0.013964401092380285,0.006711103248487913,0.007636506110429764,0.04025701805949211,0.013572776973755522,0.016849383434181978
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,mean_lid,66,0.0037217657963684175,0.0032854107782595574,0.0010838077226623074,0.002099237267393619,0.006905648924657726,0.0034643930600920317,0.0039952966798005715
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,min_lid,66,0.0008336536909954509,0.0007496602775063366,0.000315962440966584,0.0003726438735611737,0.0017149156192317605,0.0007605517220795402,0.0009091119162555762
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,slope_lid,66,-0.0016753466980183006,-0.0014959024898145773,0.001905790459783664,-0.0066020442330819076,0.00516700217389612,-0.0021246855536389865,-0.0012122847260014901
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,correct,variance_lid,66,1.0145371604168711e-05,7.550954861828304e-06,9.425512472807275e-06,2.966818996091973e-06,5.5275397903669197e-05,8.089437362578208e-06,1.2732770678327133e-05
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,auc_lid,84,0.004527974330491868,0.004300151745844473,0.0015459330745327758,0.002149742342193018,0.007889688038267196,0.004213747160460363,0.004871639704832367
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,boundary_jump_answer_minus_thinking,84,-0.0019826231374671416,-0.0013009150279685855,0.006010385080379432,-0.02120445854961872,0.012623039074242115,-0.0032487699520840707,-0.0007898656691568682
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,early_late_diff,84,-0.0008306015420033697,-0.0008259299118756583,0.001813651421304447,-0.004934740107273683,0.005487799168225717,-0.0012097321073432706,-0.0004136838265911126
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,fraction_below_low_threshold,84,0.02571147789859859,0.0,0.0392639722900975,0.0,0.15789473684210525,0.017933206887945734,0.03400064066240428
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,max_lid,84,0.022556969768456406,0.0185804208740592,0.012709327338582715,0.007149804383516312,0.06440208852291107,0.02010074335627169,0.025498629513423934
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,mean_lid,84,0.004708320927130007,0.004462954484485768,0.0016610300163892814,0.0021986445312255193,0.008288761026367707,0.004376739678997357,0.005077511332257791
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,min_lid,84,0.0010986720358016015,0.0009002713777590543,0.0006142426513378592,0.00027195431175641716,0.002951785922050476,0.0009737607480842382,0.0012311127517889307
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,slope_lid,84,-0.0012050375468465088,-0.001357198848615248,0.0023094275664262342,-0.0060385130067167735,0.00637218832906166,-0.0016884034229123302,-0.0006944253199104169
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,no_think_answer,no_thinking_model_answer_segment,wrong,variance_lid,84,1.956282018558902e-05,1.4662629999123398e-05,1.6006555723725093e-05,2.1231063141532976e-06,8.313316756405105e-05,1.6458794786181432e-05,2.3339187669718475e-05
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,auc_lid,127,0.004106453073594482,0.003577039059835666,0.0014589197330628627,0.0022207878845572275,0.008224687888287008,0.003859973517824724,0.004360468643161761
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,boundary_jump_answer_minus_thinking,127,-0.003485786682728121,-0.002063340973109007,0.006407457777714111,-0.02120445854961872,0.012623039074242115,-0.004624057534988603,-0.0022941127793467426
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,early_late_diff,127,-0.0013379123682171225,-0.001277610497230566,0.0016632606720147036,-0.005001411247455205,0.0064205911112367176,-0.0016305914616168884,-0.0010525159805951443
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,fraction_below_low_threshold,127,0.023334853064507957,0.0,0.03581410663976747,0.0,0.140625,0.017344401693714907,0.029910166421496086
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,max_lid,127,0.019759049576773182,0.015417573973536491,0.015009422022278639,0.007621845696121454,0.13919547200202942,0.01741761368759871,0.02251206623219819
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,mean_lid,127,0.004230276819038428,0.0036482326861005275,0.0015670363772278687,0.002265020958510796,0.008587397976798262,0.003964339691707219,0.004499664268265534
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,min_lid,127,0.0009461399924017372,0.0007476855535060167,0.0005198606395257926,0.00026511354371905327,0.0025397520512342453,0.0008581656870852943,0.0010359256822392656
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,slope_lid,127,-0.0018658995790022525,-0.0017077945733142187,0.002081155317776892,-0.005940543628314117,0.00873220517907891,-0.002228481170504207,-0.0015136389966939779
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,correct,variance_lid,127,1.753669921460839e-05,1.0034981871766287e-05,2.9182167859817334e-05,2.809629340406654e-06,0.00029636366935694824,1.3369652916185016e-05,2.3263481605379753e-05
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,wrong,auc_lid,23,0.0049912872027545255,0.004589893289246699,0.0016159577833624308,0.002505439631503952,0.00812681374243564,0.004355018037553824,0.005640449264108004
aggregate_common_kept_across_models,ALL_MODELS,ALL_MODELS,,,hidden_dim,6,think_answer,thinking_model_answer_segment,wrong,boundary_jump_answer_minus_thinking,23,-0.001248580272026036,-0.0012563364580273628,0.004396368053146913,-0.009784933179616928,0.0053031789138913155,-0.003059152616744699,0.0004816553115075368
