summary_type,layer,n,mean,median,ci_low,ci_high,wilcoxon_p,mode,accuracy
paired_answer_layer,6.0,62,-0.38391176346809636,-0.4495258331298828,-0.9774956307103553,0.2040582310768864,0.20319205622070058,,
paired_answer_layer,13.0,62,0.06685238499795237,0.26250362396240234,-0.21277738655767123,0.36038056150559444,0.4385030162555622,,
paired_answer_layer,20.0,62,-0.5941022903688492,-0.5662527084350586,-0.7733952418450386,-0.4127042901131417,4.225910959359585e-07,,
accuracy,,62,,,,,,no_think,0.4838709677419355
accuracy,,62,,,,,,think,0.8870967741935484
