summary_type,layer,n,mean,median,ci_low,ci_high,wilcoxon_p,mode,accuracy
paired_answer_layer,6.0,90,0.4750626352098253,0.5489597320556641,-0.0348020113839042,0.9623088942633728,0.0091783535227961,,
paired_answer_layer,13.0,90,0.3767930772569444,0.4349970817565918,0.1669719057612949,0.5733333002196416,0.0010185869104281,,
paired_answer_layer,20.0,90,0.0517894321017795,0.1143126487731933,-0.1990881639056735,0.291373772886064,0.6164068374944827,,
accuracy,,90,,,,,,no_think,0.1666666666666666
accuracy,,90,,,,,,think,0.7444444444444445
